Step,Agent,Horizon,Chosen_Action,Sample_Q
6,1,6,2,[-29.22405424  18.77510927  19.52884143 -32.11439578 -34.13069562]
6,2,1,3,[20.61042694 21.2794787  22.56612571 23.78884878 22.5691493 ]
6,2,2,3,[20.65326155 21.54404388 22.82626018 23.39464784 22.82961972]
6,2,3,3,[20.7072973  22.01729142 23.12174023 23.33362083 23.12547305]
6,2,4,3,[20.97804677 22.49997024 23.4385389  23.27462935 23.44268648]
6,2,5,3,[21.2452276  23.09341395 23.75688553 23.32915518 23.76149395]
6,2,6,3,[21.6193853  23.69854739 24.076783   23.38700327 24.08190347]
6,3,1,2,[43.30088392 45.43749768 37.59035257 36.27696984 49.99283294]
6,3,2,2,[43.05737827 45.43139356 37.23628338 35.88087305 49.9920366 ]
6,3,3,2,[42.78690984 45.4247046  36.98355133 35.69231087 49.99115178]
6,3,4,2,[42.70871535 45.4173762  36.71212918 35.49191084 49.99016865]
6,3,5,2,[42.62194789 45.40934883 36.64320123 35.50158032 49.98907627]
6,3,6,2,[42.63677884 45.40055766 36.56646988 35.51182    49.98786253]
7,1,1,2,[-35.793684    12.20626195  12.2549612  -32.19125196 -33.38787047]
7,1,2,2,[-35.53650128  12.46343867  12.51754895 -32.23638293 -33.43922386]
7,1,3,2,[-35.27859958  12.7213337   12.78145623 -32.25760365 -33.45692255]
7,1,4,2,[-35.020039    12.97988686  13.04668968 -32.26347396 -33.46869719]
7,1,5,2,[-34.76088702  13.23903061  13.31325596 -32.25076214 -33.47242444]
7,1,6,2,[-34.50121932  13.49868915  13.58116177 -32.23924561 -33.47728061]
7,2,1,2,[18.37016506 14.54030779 20.48952105 23.63238201 20.46970532]
7,2,2,2,[18.18187553 14.35666893 20.53671551 23.22607456 20.51469804]
7,2,3,2,[17.98057943 14.40067961 20.59706831 23.15109513 20.57260445]
7,2,4,2,[17.98705017 14.4503909  20.67203781 23.0761503  20.64485575]
7,2,5,2,[17.99039326 14.61804339 20.75149063 23.11259202 20.72128834]
7,2,6,2,[18.10125602 14.79446565 20.83580866 23.15013514 20.80225056]
7,3,1,2,[43.34206448 45.48857484 37.82810726 36.61398016 49.99892426]
7,3,2,2,[43.10242003 45.48743154 37.48832957 36.23749077 49.99880474]
7,3,3,2,[42.83616245 45.48617523 37.25015453 36.06881635 49.99867193]
7,3,4,2,[42.76255848 45.48479491 36.99344025 35.88841399 49.99852437]
7,3,5,2,[42.6807936  45.48327852 36.93922791 35.9179803  49.99836041]
7,3,6,2,[42.70107407 45.48161288 36.87704344 35.94775816 49.99817823]
8,1,1,2,[-40.02152122   7.97846976   7.98659143 -31.99052381 -33.16182835]
8,1,2,2,[-39.78128398   8.21870601   8.22773008 -32.0355994  -33.19817438]
8,1,3,2,[-39.53993514   8.46005373   8.47008048 -32.05761654 -33.2009547 ]
8,1,4,2,[-39.29747974   8.7025079    8.71364872 -32.06537699 -33.19832787]
8,1,5,2,[-39.05392403   8.94606223   8.95844093 -32.05593521 -33.18870378]
8,1,6,2,[-38.8092756    9.19070914   9.20446324 -32.04940353 -33.18191308]
8,2,1,3,[17.8203377  12.7688266  20.0503494  23.61262032 20.03725711]
8,2,2,3,[17.57405543 12.41924433 20.05184621 23.19671382 20.03729922]
8,2,3,3,[17.30944472 12.28341414 20.06254559 23.11110713 20.04638227]
8,2,4,3,[17.246805   12.1366624  20.08358374 23.02442345 20.0656245 ]
8,2,5,3,[17.17472501 12.08961193 20.10447917 23.04792087 20.08452446]
8,2,6,3,[17.20328927 12.0313046  20.12523833 23.07120708 20.10306643]
8,3,1,2,[43.37959959 45.49754624 37.91897793 36.59366975 49.99980066]
8,3,2,2,[43.14402293 45.49729698 37.58611805 36.22332795 49.99977852]
8,3,3,2,[42.88227367 45.49702262 37.3552862  36.06243004 49.99975391]
8,3,4,2,[42.81366628 45.49672066 37.10635069 35.89172057 49.99972656]
8,3,5,2,[42.73743904 45.49638836 37.06036008 35.93322746 49.99969618]
8,3,6,2,[42.76385679 45.4960227  37.00684406 35.97757507 49.99966242]
9,1,1,2,[-43.26731006   4.73268788   4.73454586 -31.93974384 -33.07253196]
9,1,2,2,[-43.04271956   4.95727815   4.95934257 -31.97481233 -33.10899064]
9,1,3,2,[-42.81702234   5.18297511   5.18526891 -31.98499697 -33.11094407]
9,1,4,2,[-42.59021527   5.4097819    5.41233057 -31.97897009 -33.10620727]
9,1,5,2,[-42.36229547   5.63770138   5.64053323 -31.95369336 -33.09278381]
9,1,6,2,[-42.13326036   5.86673615   5.86988264 -31.92923946 -33.08002678]
9,2,1,3,[18.03556626 12.75484648 20.16898588 23.79937421 20.15533034]
9,2,2,3,[17.79284664 12.40871177 20.16331288 23.38951879 20.14814006]
9,2,3,3,[17.53157338 12.27432791 20.16542476 23.30979581 20.14856607]
9,2,4,3,[17.47204125 12.13175113 20.17632056 23.22880265 20.15758869]
9,2,5,3,[17.40283602 12.09225378 20.18536858 23.25777723 20.16455539]
9,2,6,3,[17.43404008 12.0456354  20.19240959 23.28631527 20.16928382]
9,3,1,2,[43.3868292  45.49948293 37.93093426 36.60383797 49.99996306]
9,3,2,2,[43.15203677 45.49942981 37.60307673 36.23219605 49.99995896]
9,3,3,2,[42.89115678 45.49937127 37.37821394 36.06958582 49.9999544 ]
9,3,4,2,[42.82351289 45.49930676 37.13636758 35.8966765  49.99994933]
9,3,5,2,[42.74835359 45.49923567 37.09876173 35.9354091  49.9999437 ]
9,3,6,2,[42.77595504 45.49915735 37.05512686 35.9763078  49.99993745]
10,1,1,2,[-48.73172661  -0.73172674  -0.7316067  -31.76335118 -33.07401581]
10,1,2,2,[-48.53441132  -0.53441147  -0.53427809 -31.80214818 -33.10575674]
10,1,3,2,[-48.33610592  -0.33610608  -0.33595788 -31.81786697 -33.10274193]
10,1,4,2,[-48.13680557  -0.13680575  -0.13664108 -31.81955074 -33.09290846]
10,1,5,2,[-47.93650546   0.06349434   0.0636773  -31.80443219 -33.07443436]
10,1,6,2,[-47.73520076   0.26479902   0.26500232 -31.7928423  -33.05691251]
