Step,Agent,Horizon,Num_States,MostCommonAction,ActionDistribution,Sample_State,Sample_Q
20,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.63875801 39.49648389 29.98877188 35.60097906 30.0003096 ]
20,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.65022086 39.51114989 29.99921047 35.60824424 30.0109603 ]
20,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.66135389 39.52634062 30.00991629 35.6147132  30.02106667]
20,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67207187 39.54199164 30.02099422 35.62024889 30.03047107]
21,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.73003008 39.77872028 30.30118296 35.59076343 30.2159884 ]
21,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.63361107 39.57663277 30.12444125 35.58998147 30.01589441]
21,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.64750746 39.48267742 30.0378302  35.59903013 30.02626728]
21,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.66119283 39.49930442 30.05140041 35.60732912 30.03625669]
21,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67452433 39.51706239 30.06522471 35.61467577 30.04584722]
21,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.68733842 39.53599739 30.07940303 35.62084002 30.05503788]
22,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.77582121 39.83599957 30.30700876 35.63721785 30.21412337]
22,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67808615 39.63730181 30.12795963 35.63519353 30.01646719]
22,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69015759 39.54678232 30.03917072 35.64249912 30.02653578]
22,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70145102 39.56685972 30.05078836 35.64849716 30.03689891]
22,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71176321 39.58804342 30.06300052 35.6529256  30.04773377]
22,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.72086859 39.61033141 30.07604422 35.65549346 30.05926558]
23,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.85157365 39.90449083 30.38484884 35.69814922 30.2663651 ]
23,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.75420072 39.71361053 30.2068462  35.69484025 30.07257874]
23,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.76575523 39.63180015 30.11932262 35.69979915 30.08172694]
23,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.77545015 39.66157993 30.13256824 35.70216561 30.09132778]
23,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.78284529 39.69357249 30.14695643 35.70141803 30.10172539]
23,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.78743846 39.72790192 30.16296005 35.69696372 30.11336078]
24,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.88246382 39.89298759 30.44131163 35.72034032 30.31803755]
24,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.78970838 39.7023819  30.26726164 35.72068227 30.12800085]
24,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.80634301 39.62104917 30.18375221 35.72964733 30.13924553]
24,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.82160625 39.65155137 30.20104641 35.73638884 30.15061279]
24,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.83508121 39.68455963 30.21948701 35.74039519 30.16235881]
24,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.84628561 39.72025427 30.23951296 35.74107893 30.17482514]
25,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.86815003 39.8822522  30.43370432 35.71344367 30.30940882]
